Timestamp,FC,Physical activity,Sleep time,Eating outside,money on food per day,BLD,afternoon nap
2023/04/17 8:33:03 PM GMT+5:30,Non-vegetarian,0,6,45,240,Dinner,No
2023/04/17 8:33:41 PM GMT+5:30,Non-vegetarian,5,7,50,10000,Lunch,Yes
2023/04/17 8:35:26 PM GMT+5:30,Vegetarian + egg,1,9,10,700,Lunch,Yes
2023/04/17 8:36:05 PM GMT+5:30,Non-vegetarian,10,6,2,0,Breakfast,Yes
2023/04/17 8:36:36 PM GMT+5:30,Vegetarian + egg,7,7,1,10,Breakfast,No
2023/04/17 8:37:06 PM GMT+5:30,Vegetarian + egg,0,8,20,300,Dinner,No
2023/04/17 8:37:34 PM GMT+5:30,Non-vegetarian,4,8,8,50,Lunch,Yes
2023/04/17 8:38:03 PM GMT+5:30,Non-vegetarian,2,8,6,3000,Dinner,Yes
2023/04/17 8:38:25 PM GMT+5:30,Vegetarian,5,7,10,110,Breakfast,No
2023/04/17 8:38:32 PM GMT+5:30,Vegetarian,0,8,10,100,Breakfast,No
2023/04/17 8:38:33 PM GMT+5:30,Non-vegetarian,2,6.5,10,100,Dinner,Yes
2023/04/17 8:38:58 PM GMT+5:30,Non-vegetarian,7,6,15,100,Breakfast,No
2023/04/17 8:39:22 PM GMT+5:30,Vegetarian + egg,2,8,30,200,Dinner,No
2023/04/17 8:39:56 PM GMT+5:30,Non-vegetarian,0,5,10,150,Breakfast,No
2023/04/17 8:40:16 PM GMT+5:30,Vegetarian,0,8,0,0,Breakfast,No
2023/04/17 8:40:42 PM GMT+5:30,Vegetarian,14,6,7,40,Breakfast,No
2023/04/17 8:43:13 PM GMT+5:30,Non-vegetarian,2,8,2,70,Breakfast,No
2023/04/17 8:47:33 PM GMT+5:30,Vegetarian + egg,0,9,30,30,Breakfast,No
2023/04/17 8:47:50 PM GMT+5:30,Non-vegetarian,6,7,2,50,Breakfast,No
2023/04/17 8:48:36 PM GMT+5:30,Non-vegetarian,2,50,3,30,Breakfast,Yes
2023/04/17 8:49:06 PM GMT+5:30,Non-vegetarian,2,6,25,200,Dinner,Yes
2023/04/17 8:49:37 PM GMT+5:30,Non-vegetarian,0,8,30,40,Breakfast,Yes
